seller_id,n_orders,n_reviews,avg_review_score,pct_5star,cancellation_rate,n_5star_on_cancelled_orders
f1c1ac3f3efc07e659c035008e615e66,4,14,3.5714285714285716,0.42857142857142855,0.35714285714285715,5
620c87c171fb2a6dd6e8bb4dec959fc6,740,790,4.215189873417722,0.654228855721393,0.011194029850746268,3
4a3ca9315b744ce9f8e9374361493884,1806,1984,3.803931451612903,0.4713787954206073,0.0009955201592832255,1
c1d1ebb4745cc43cb6f05e9c8a705c9a,3,3,2.3333333333333335,0.3333333333333333,0.6666666666666666,1
010da0602d7774602cd1b3f5fb7b709e,1,5,1.0,0.0,0.0,0
aac51c486b672a9850d59f3e84b1cf88,10,13,4.769230769230769,0.7692307692307693,0.0,0
bcf5566870987da7bc811fbc8c5b9fd9,1,4,1.0,0.0,1.0,0
bac692d6c0ed08467878018e6cc9c26c,1,3,4.0,0.0,0.0,0
b37c4c02bda3161a7546a4e6d222d5b2,4,15,1.4,0.06666666666666667,0.0,0
b1b3948701c5c72445495bd161b83a4c,18,18,1.7222222222222223,0.1111111111111111,0.1111111111111111,0
a4b6b9b992b46e9ef863637af96e04bc,7,14,2.5714285714285716,0.07142857142857142,0.42857142857142855,0
a3b42d266fa8afc874b909422ce88582,1,6,5.0,1.0,0.0,0
a1043bafd471dff536d0c462352beb48,718,767,4.189048239895698,0.5896103896103896,0.003896103896103896,0
99a25c39b28a74d1151c35c18d178292,1,6,5.0,1.0,0.0,0
9599519be538b98748162a2b48248960,1,3,1.0,0.0,0.0,0
955fee9216a65b617aa5c0531780ce60,1287,1489,4.0517125587642715,0.5356429047301798,0.0006662225183211193,0
90d4125885ab6c86e8820a722be71974,3,5,1.0,0.0,1.0,0
c00396cbdd2e088fe4281baa5920aef1,1,3,5.0,1.0,0.0,0
c510bc1718f0f2961eaa42a23330681a,13,13,4.0,0.6923076923076923,0.0,0
c4f7fee5b0db50e87766f5a4d1b1b758,8,9,2.6666666666666665,0.3333333333333333,0.4444444444444444,0
87b740daf17b5d1be335a64164ec6842,13,13,3.3076923076923075,0.23076923076923078,0.07692307692307693,0
cc419e0650a3c5ba77189a1882b7556a,1706,1811,4.0695748205411375,0.5788894997251237,0.004947773501924134,0
d13e50eaa47b4cbe9eb81465865d8cfc,67,69,4.811594202898551,0.8985507246376812,0.0,0
d17f467e4bf608a510c20d82f4ba3b6b,12,12,4.0,0.3333333333333333,0.0,0
d4910f1cdcfdabd48d6b316e395d4a23,11,12,4.916666666666667,0.9166666666666666,0.0,0
d4a5e99e0dd915df64ba55a7fbd583fd,2,6,1.6666666666666667,0.16666666666666666,0.0,0
d7ab82074b5f1dfba46db123df101bff,2,3,4.333333333333333,0.3333333333333333,0.0,0
d8cf3b6a2151949f930d0252b180ec42,6,19,3.0,0.42105263157894735,0.0,0
da8622b14eb17ae2831f4ac5b9dab84a,1314,1568,4.071428571428571,0.5673443456162643,0.0,0
ea8482cd71df3c1969d7b9473ff13abc,1146,1197,3.953216374269006,0.5149501661129569,0.0008305647840531562,0
ec4608a1f76453166bb312b2968aeaf4,18,35,2.6857142857142855,0.22857142857142856,0.17142857142857143,0
ec8463980a4e0ea9f8517aea1ed0c419,2,8,5.0,1.0,0.0,0
ed8cb7b190ceb6067227478e48cf8dde,15,17,3.176470588235294,0.29411764705882354,0.0,0
