seller_id,n_events,n_unique_customers,cancellation_rate,avg_amount,amount_std,top3_customer_concentration,log_n_events,log_avg_amount,anomaly_score,anomaly_score_raw
c4f7fee5b0db50e87766f5a4d1b1b758,9,8,0.4444444444444444,1329.0922222222223,1085.6455796312346,0.4444444444444444,2.302585092994046,7.1930035588286,-1,-0.1211922221522036
e3b4998c7a498169dc7bce44e6bb6277,3,3,0.0,2299.2999999999997,3136.7640406423093,1.0,1.3862943611198906,7.740794828193973,-1,-0.1056836500129742
cc419e0650a3c5ba77189a1882b7556a,1775,1706,0.0050704225352112674,58.75403943661972,23.1911643244837,0.007323943661971831,7.4821189235521155,4.090236794160265,-1,-0.10475397685663235
612a743d294c27884fb7b80d2b19ba35,3,2,0.0,1019.2333333333335,1400.5428312701551,1.0,1.3862943611198906,6.927786638287091,-1,-0.10089101981973958
6560211a19b47992c3666cc44a7e94c0,2033,1854,0.003935071323167732,60.65166256763404,33.64539174137604,0.006886374815543532,7.617759576608505,4.121500197091562,-1,-0.09957484019877794
8b321bb669392f5163d04c59e235e066,1018,943,0.0,17.225628683693515,10.309115954146305,0.0137524557956778,6.926577033222725,2.9028287729756728,-1,-0.09210823434897442
4a3ca9315b744ce9f8e9374361493884,1987,1806,0.0010065425264217413,100.89225968797183,59.501633965519645,0.006542526421741319,7.59488438721652,4.623915977461067,-1,-0.09052145178143978
ea8482cd71df3c1969d7b9473ff13abc,1203,1146,0.0008312551953449709,30.90400665004156,18.483762434156,0.007481296758104738,7.093404625868766,3.4627316022185224,-1,-0.08840591827630262
1f50f920176fa81dab994f9023523100,1931,1404,0.0005178663904712584,55.380222682547895,6.930730134624245,0.017607457276022784,7.566311014772463,4.032118435350886,-1,-0.08428839932174181
66d5ae34537110d3affc56174dad2b2f,3,1,1.0,11.270000000000001,0.0,1.0,1.3862943611198906,2.5071572587228204,-1,-0.08213156886869488
4869f7a5dfa277a7dca6462dcf3b52b2,1156,1132,0.0008650519031141869,198.50573529411764,121.56695427496396,0.007785467128027681,7.053585727193677,5.295842984258134,-1,-0.08201644045618295
a4b6b9b992b46e9ef863637af96e04bc,14,7,0.42857142857142855,510.5,620.5141589267496,0.7142857142857143,2.70805020110221,6.2373475853916815,-1,-0.08162344013401013
955fee9216a65b617aa5c0531780ce60,1499,1287,0.00066711140760507,90.17458305537025,83.86224854026847,0.01200800533689126,7.313220387090301,4.512776163669429,-1,-0.08081608284528408
da8622b14eb17ae2831f4ac5b9dab84a,1551,1314,0.0,103.31177949709866,68.67309305631804,0.009026434558349452,7.347299700743164,4.647384294240368,-1,-0.07941667971956645
